set4_id,DataVizRoles_collapsed,YearsDataVizExperience_buckets,ToolsFreq_,ToolsFreq_ArcGIS,ToolsFreq_Canva,ToolsFreq_Canvas,ToolsFreq_D3,ToolsFreq_Datawrapper,ToolsFreq_Excel,ToolsFreq_Figma,ToolsFreq_Flourish,ToolsFreq_ggplot2,ToolsFreq_Gephi,ToolsFreq_GoogleDataStudio,ToolsFreq_GoogleSheets,ToolsFreq_Highcharts,ToolsFreq_Illustrator,ToolsFreq_Leaflet,ToolsFreq_Looker,ToolsFreq_Mapbox,ToolsFreq_Matplotlib,ToolsFreq_Observable,ToolsFreq_P5orProcessing,ToolsFreq_PenPaper,ToolsFreq_PhysicalMaterials,ToolsFreq_Plotly,ToolsFreq_PowerBI,ToolsFreq_PowerPoint,ToolsFreq_Python,ToolsFreq_QGIS,ToolsFreq_Qlik,ToolsFreq_R,ToolsFreq_RAWGraphs,ToolsFreq_React,ToolsFreq_Svelte,ToolsFreq_Tableau,ToolsFreq_Vega,ToolsFreq_Vue,ToolsFreq_WebComponents,ToolsFreq_WebGL,Tools_Other__,ToolsLiking_TopThree__,ToolsFreq_ArcGIS_encoded,ToolsFreq_Canva_encoded,ToolsFreq_Canvas,ToolsFreq_D3,ToolsFreq_Datawrapper,ToolsFreq_Excel,ToolsFreq_Figma,ToolsFreq_Flourish,ToolsFreq_ggplot2,ToolsFreq_Gephi,ToolsFreq_GoogleDataStudio,ToolsFreq_GoogleSheets,ToolsFreq_Highcharts,ToolsFreq_Illustrator,ToolsFreq_Leaflet,ToolsFreq_Looker,ToolsFreq_Mapbox,ToolsFreq_Matplotlib,ToolsFreq_Observable,ToolsFreq_P5orProcessing,ToolsFreq_PenPaper,ToolsFreq_PhysicalMaterials,ToolsFreq_Plotly,ToolsFreq_PowerBI,ToolsFreq_PowerPoint,ToolsFreq_Python,ToolsFreq_QGIS,ToolsFreq_Qlik,ToolsFreq_R,ToolsFreq_RAWGraphs,ToolsFreq_React,ToolsFreq_Svelte,ToolsFreq_Tableau,ToolsFreq_Vega,ToolsFreq_Vue,ToolsFreq_WebComponents,ToolsFreq_WebGL
gmQf,Employee,16-20,7,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Often,Rarely,Never,Never,Never,Never,Never,Rarely,Never,Never,Rarely,Never,Rarely,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,[^not answered],Tableau; Google Data Studio; Plotly,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
rOQq,Employee,6-10,9,Never,Rarely,Never,Rarely,Never,Often,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Sometimes,Never,Sometimes,Rarely,Never,[^not chosen],Often,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,[^not answered],[^not answered],0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
pMpl,Employee,1-5,14,Often,Sometimes,Never,Never,Rarely,Often,Never,Never,Rarely,Never,Often,Often,Never,Never,Never,Often,Rarely,Never,Never,Never,Rarely,Rarely,Never,Often,Never,Never,Rarely,Never,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,[^not answered],AGOL; PowerBI; Datawrapper,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
utqO,Employee,1-5,3,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Sometimes,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Sometimes,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Often,[^not chosen],[^not chosen],[^not chosen],[^not chosen],SQL Server,[^not answered],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
yZFT,Hobbyist,6-10,20,Rarely,Never,Never,Sometimes,Never,Often,Often,Rarely,Never,Never,Sometimes,Often,Never,Sometimes,Never,Never,Rarely,Never,Never,Never,Sometimes,Rarely,Never,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Never,Never,Often,Never,Sometimes,Never,Never,Often,Sometimes,[^not answered],[^not answered],1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1
mZpn,Employee,1-5,18,Rarely,Sometimes,[^not chosen],Rarely,Rarely,Often,Sometimes,Rarely,Never,Never,Never,Sometimes,Never,Rarely,Never,Never,Sometimes,Rarely,Never,Never,Sometimes,Rarely,Never,Never,Rarely,Rarely,Rarely,Never,Never,Never,Never,Never,Often,Never,Never,Never,Rarely,[^not answered],pen & paper; Illustrator; Google Sheets; Tableau,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1
haDD,EmployeeAND,1-5,11,Never,Sometimes,Never,Rarely,Never,Often,Never,Never,Never,Never,Often,Rarely,Never,Rarely,Never,Often,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Rarely,Never,Never,Never,Never,Never,Never,Rarely,Rarely,Never,Never,Never,Domo; OBIEE,Looker; Tableau,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0
KDkU,EmployeeANDFreelance,1-5,7,[^not chosen],Rarely,[^not chosen],[^not chosen],[^not chosen],Often,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Rarely,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Sometimes,Rarely,[^not chosen],[^not chosen],Often,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Often,[^not chosen],[^not chosen],[^not chosen],[^not chosen],Workday,[^not answered],0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
qvKX,Employee,1-5,8,Often,Never,Never,Never,Never,Often,Never,Never,Never,Never,Never,Never,Never,Often,Never,Never,Never,Never,Never,Never,Sometimes,Rarely,Never,Rarely,Rarely,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,[^not answered],[^not answered],1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
HQUc,Employee,6-10,7,Never,Never,Never,Rarely,Often,Often,Rarely,Never,Never,Never,Never,Never,Never,Often,Never,Never,Never,Never,Never,Never,Sometimes,Never,Never,Never,Often,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Datylon,Illustrator; Datylon,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
WuBK,Freelance,1-5,7,Never,Never,Never,Never,Never,Often,Never,Never,Never,Never,Never,Rarely,Never,[^not chosen],[^not chosen],[^not chosen],[^not chosen],Sometimes,[^not chosen],[^not chosen],[^not chosen],[^not chosen],Rarely,[^not chosen],Rarely,Often,[^not chosen],[^not chosen],Rarely,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not answered],Python,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
DGrt,Employee,6-10,8,Never,Never,Never,Never,Never,Rarely,Never,Never,Often,Never,Never,Never,Never,Never,Sometimes,[^not chosen],Never,Never,Never,Never,Never,Never,Rarely,Never,Sometimes,Rarely,Never,Never,Often,Never,Never,Never,Sometimes,Never,Never,Never,Never,[^not answered],R,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0
Zwzl,EmployeeANDFreelanceAND,6-10,8,Never,Never,Never,Never,Never,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never,Sometimes,Rarely,Never,Sometimes,Often,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,Never,Never,Never,Xd; InDesign,[^not answered],0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
yBMO,Freelance,6-10,7,Never,Never,Never,Never,Never,Never,Rarely,Rarely,Rarely,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Often,Never,Rarely,Never,Never,Often,Never,Never,Never,Never,Never,Never,Never,Never,R Shiny;R Markdown,"R shiny, R markdown, Flourish",0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
YHeD,Employee,6-10,13,[^not chosen],Rarely,[^not chosen],[^not chosen],[^not chosen],Often,[^not chosen],[^not chosen],[^not chosen],[^not chosen],Often,Often,[^not chosen],[^not chosen],[^not chosen],Sometimes,Rarely,Rarely,[^not chosen],[^not chosen],Rarely,[^not chosen],[^not chosen],Rarely,Often,Sometimes,[^not chosen],[^not chosen],Sometimes,[^not chosen],[^not chosen],[^not chosen],Rarely,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not answered],Google Sheets; Powerpoint; Excel,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0
GIaU,Employee,6-10,4,Sometimes,Never,Never,Never,Never,Often,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,[^not answered],ArcGIS; Illustrator,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
oJtz,Employee,6-10,12,Rarely,Never,Never,Never,Never,Sometimes,Never,Never,Rarely,Never,Never,Rarely,Never,Rarely,Never,Rarely,Never,Never,Never,Never,Sometimes,Rarely,Never,Sometimes,Sometimes,Never,Never,Never,Rarely,Never,Never,Never,Rarely,Never,Never,Never,Never,SPSS; SAS; RStudio,SPSS; SAS; RStudio,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
zRIb,Employee,11-15,24,Never,Never,Never,Sometimes,Never,Often,Never,Never,Sometimes,Never,Rarely,Sometimes,Rarely,Sometimes,Never,Never,Never,Sometimes,Sometimes,Never,Sometimes,Rarely,Sometimes,Often,Often,Sometimes,Never,Sometimes,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Never,[^not answered],[^not answered],0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
ADKV,Employee,16-20,7,Never,Never,Never,Never,Never,Sometimes,Never,Never,Never,Never,Rarely,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Often,Rarely,Never,Never,Rarely,Never,Never,Never,Sometimes,Never,Never,Never,Never,[^not answered],d3,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0
BknR,EmployeeAND,6-10,13,Never,Never,Never,Rarely,Never,Sometimes,Sometimes,Never,Never,Never,Sometimes,Never,Never,Never,Never,Sometimes,Never,Never,Sometimes,Never,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Never,"Dash, Looker Studio","PowerBI, Dash/Plotly",0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
zdjp,Employee,1-5,12,Rarely,Never,Never,Never,Never,Often,Never,Never,Rarely,Never,Rarely,Rarely,Never,Never,Never,Never,Never,Rarely,Never,Never,Rarely,Never,Never,Rarely,Sometimes,Rarely,Never,Never,Sometimes,Never,Never,Never,Often,Never,Never,Never,Never,[^not answered],[^not answered],1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0
JNop,Freelance,6-10,12,Sometimes,Never,Never,Never,Often,Often,Sometimes,Never,Sometimes,Never,Never,Often,Never,Often,Never,Never,Rarely,Never,Never,Never,Sometimes,Never,Never,Never,Never,Never,Often,Never,Often,Never,Never,Never,Never,Never,Never,Sometimes,Never,[^not answered],[^not answered],1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
QOBO,Employee,16-20,14,Never,Never,Never,Never,Rarely,Sometimes,Rarely,Never,Often,Never,Never,Sometimes,Never,Often,Never,Never,Never,Never,Rarely,Never,Often,Rarely,Never,Never,Often,Sometimes,Never,Never,Often,Sometimes,Never,Never,Sometimes,Never,Never,Never,Never,[^not answered],[^not answered],0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0
ETjc,EmployeeAND,11-15,4,Never,Sometimes,Never,Never,Never,Often,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,[^not answered],Excel; PowerPoint; Canva,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
REPz,EmployeeAND,Less than 1 year,5,Often,Never,Never,Never,Never,Often,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,Never,Never,Often,Never,Never,Never,Never,Never,Never,Never,Never,[^not answered],[^not answered],1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
GcBy,Employee,11-15,14,Never,Never,Never,Sometimes,Rarely,Never,Sometimes,Never,Never,Never,Never,Often,Never,Never,Never,Never,Never,Often,Never,Rarely,Sometimes,Never,Sometimes,Never,Rarely,Often,Never,Never,Never,Never,Rarely,Never,Rarely,Often,Never,Never,Sometimes,[^not answered],"D3.js, Tableau, Python",0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1
LIcI,EmployeeAND,Less than 1 year,14,Never,Never,Never,Sometimes,Rarely,Sometimes,Rarely,Never,Often,Rarely,Never,Rarely,Never,Sometimes,Never,Never,Never,Never,Rarely,Never,Often,Never,Rarely,Never,Sometimes,Never,Never,Never,Often,Never,Never,Never,Sometimes,Never,Never,Never,Never,[^not answered],Ggplot2;d3.js,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
OdXn,Skipped question,Less than 1 year,8,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Sometimes,Rarely,[^not chosen],[^not chosen],[^not chosen],[^not chosen],Often,[^not chosen],Rarely,[^not chosen],Sometimes,[^not chosen],[^not chosen],[^not chosen],[^not chosen],Often,[^not chosen],[^not chosen],[^not chosen],Sometimes,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Often,[^not chosen],[^not chosen],[^not chosen],[^not chosen],Thoughtspot,Tableau; Pen & Paper ; Powerpoint,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
aprQ,Employee,1-5,0,[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],[\unfinished],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eOrH,Freelance,6-10,10,Never,Never,Never,Never,Never,Sometimes,Often,Never,Never,Never,Never,Never,Never,Sometimes,Never,Never,Sometimes,Never,Never,Never,Often,Often,Sometimes,Often,Rarely,Never,Never,Never,Never,[^not chosen],Sometimes,Never,Never,Never,Never,Never,Never,[^not answered],Figma,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
PpMi,Freelance,6-10,31,Never,Never,Never,Sometimes,Sometimes,Sometimes,Often,Never,Sometimes,Never,Often,Rarely,Rarely,Rarely,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Rarely,Sometimes,Often,Often,Often,Never,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Often,Rarely,Sometimes,Sometimes,Sometimes,Domo;Thoughtspot,Figma;To be honest I don't enjoy building data visualization with the current dashboarding tools,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
AYFU,Freelance,1-5,4,Never,Never,Never,Never,Never,Often,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Often,Never,Never,Rarely,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,[^not answered],Excel,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
KWRQ,EmployeeAND,1-5,8,Rarely,Never,Never,Never,Never,Often,Never,Never,Never,Never,Sometimes,Often,Never,Often,Never,Never,Never,Never,Never,Never,Often,Never,Never,Never,Often,Never,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,[^not answered],[^not answered],1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
ZEyW,Employee,6-10,6,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Often,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Often,[^not chosen],[^not chosen],[^not chosen],Rarely,[^not chosen],[^not chosen],[^not chosen],[^not chosen],Often,[^not chosen],[^not chosen],[^not chosen],Sometimes,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not chosen],Often,[^not chosen],[^not chosen],[^not chosen],[^not chosen],[^not answered],Tableau;Powerpoint;Google Sheets,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
iaVo,Freelance,16-20,9,Rarely,Never,Never,Never,Never,Often,Rarely,Never,Never,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Rarely,Never,Often,Sometimes,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,Never,Never,Never,[^not answered],Power BI,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
